epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26926,2.296,3.34867,1.92637,0.005,0.66279,0.08602,0.0284,2.27348,3.41771,1.93367,0.00016,0.00016,0.00016
2,14.3265,1.93981,2.61773,1.68501,0.00632,0.83721,0.14707,0.06124,2.39641,3.37127,2.02397,0.000333268,0.000333268,0.000333268
3,18.747,1.86905,2.24503,1.63078,0.00649,0.86047,0.19036,0.06126,2.26729,3.36433,2.02718,0.000499408,0.000499408,0.000499408
4,22.537,1.81141,2.04697,1.56267,0.63656,0.12791,0.22069,0.08487,2.52574,3.23854,2.28457,0.00065842,0.00065842,0.00065842
5,28.2332,1.85864,2.00387,1.60247,0.70045,0.05476,0.18098,0.06096,2.42552,3.37778,2.54038,0.000810304,0.000810304,0.000810304
6,32.3244,1.78989,1.97822,1.59698,0.39136,0.15116,0.16783,0.06616,2.44664,3.33419,2.66922,0.00095506,0.00095506,0.00095506
7,35.8788,1.78883,1.97825,1.55126,0.4524,0.2093,0.2057,0.08015,2.33118,3.16945,2.36554,0.00109269,0.00109269,0.00109269
8,41.6841,1.83841,1.89699,1.57898,0.48451,0.23256,0.21798,0.0793,2.44125,3.20028,2.54495,0.00122319,0.00122319,0.00122319
9,46.0634,1.77214,1.83765,1.5949,0.36032,0.22093,0.16546,0.04599,2.92949,3.19499,2.93094,0.00134656,0.00134656,0.00134656
10,49.9019,1.77412,1.92085,1.57065,0.23326,0.26744,0.14906,0.04068,2.6719,2.94207,2.67495,0.0014628,0.0014628,0.0014628
11,53.8811,1.85296,1.77348,1.56835,0.31229,0.34884,0.23655,0.07766,2.4072,2.58984,2.31584,0.00157192,0.00157192,0.00157192
12,59.2035,1.67109,1.73825,1.49825,0.40406,0.26744,0.21321,0.08315,2.47681,2.77551,2.59857,0.0015644,0.0015644,0.0015644
